Channel,Time,Value
TopDrive.RPM,2017/06/16 13:34:10.000,0
StandPipeSystem.PRS,2017/06/16 13:34:10.000,-999.25
Pump_1.SPM,2017/06/16 13:34:10.000,0
DrilBHReam.ROPINS,2017/06/16 13:34:10.000,3.57778E-17
FlowMonitoring.PUMPFLW,2017/06/16 13:34:10.000,0
DrilBHReam.WOBC,2017/06/16 13:34:10.000,-999.25
DrilBHReam.WOBDRILLER,2017/06/16 13:34:10.000,0
DepthMonitoring.TVD,2017/06/16 13:34:10.000,-999.25
TELEPACER.GR,2017/06/16 13:34:10.000,-999.25
TELEPACER.GRR,2017/06/16 13:34:10.000,-999.25
TELEPACER.INCL_CONT,2017/06/16 13:34:10.000,-999.25
TELEPACER.AZIM_CONT,2017/06/16 13:34:10.000,-999.25
TELEPACER.CRPM,2017/06/16 13:34:10.000,-999.25
TELEPACER.STICKRATIO,2017/06/16 13:34:10.000,-999.25
TELEPACER.TEMP_DNI,2017/06/16 13:34:10.000,-999.25
Surface.RPM,2017/06/16 13:34:05.000,0
Surface.RPM,2017/06/16 13:34:06.000,0
Surface.RPM,2017/06/16 13:34:07.000,0
Surface.RPM,2017/06/16 13:34:08.000,0
Surface.RPM,2017/06/16 13:34:09.000,0
Surface.RPM,2017/06/16 13:34:10.000,0
Surface.TRQ,2017/06/16 13:34:05.000,0
Surface.TRQ,2017/06/16 13:34:06.000,0
Surface.TRQ,2017/06/16 13:34:07.000,0
Surface.TRQ,2017/06/16 13:34:08.000,0
Surface.TRQ,2017/06/16 13:34:09.000,0
Surface.TRQ,2017/06/16 13:34:10.000,0
DrilBHReam.ROPONDSTEP,2017/06/16 13:34:10.000,-999.25
DrillBoreHole.TD,2017/06/16 13:34:11.000,1296.688897
DrillBoreHole.TDREF,2017/06/16 13:34:11.000,-999.25
DepthMonitoring.RBD,2017/06/16 13:34:11.000,1296.688897
DepthMonitoring.ACTIVITY,2017/06/16 13:34:11.000,-999.25
HoistingSystem.HKH,2017/06/16 13:34:11.000,23.31110325
HoistingSystem.HKS,2017/06/16 13:34:11.000,0
HoistingSystem.WOH,2017/06/16 13:34:11.000,61199.2
TopDrive.TRQ,2017/06/16 13:34:11.000,0
TopDrive.RPM,2017/06/16 13:34:11.000,0
StandPipeSystem.PRS,2017/06/16 13:34:11.000,-999.25
Pump_1.SPM,2017/06/16 13:34:11.000,0
DrilBHReam.ROPINS,2017/06/16 13:34:11.000,3.57778E-17
FlowMonitoring.PUMPFLW,2017/06/16 13:34:11.000,0
DrilBHReam.WOBC,2017/06/16 13:34:11.000,-999.25
DrilBHReam.WOBDRILLER,2017/06/16 13:34:11.000,0
DepthMonitoring.TVD,2017/06/16 13:34:11.000,-999.25
TELEPACER.GR,2017/06/16 13:34:11.000,-999.25
TELEPACER.GRR,2017/06/16 13:34:11.000,-999.25
TELEPACER.INCL_CONT,2017/06/16 13:34:11.000,-999.25
TELEPACER.AZIM_CONT,2017/06/16 13:34:11.000,-999.25
TELEPACER.CRPM,2017/06/16 13:34:11.000,-999.25
TELEPACER.STICKRATIO,2017/06/16 13:34:11.000,-999.25
TELEPACER.TEMP_DNI,2017/06/16 13:34:11.000,-999.25
Surface.RPM,2017/06/16 13:34:11.000,0
Surface.TRQ,2017/06/16 13:34:11.000,0
DrilBHReam.ROPONDSTEP,2017/06/16 13:34:11.000,-999.25
DrillBoreHole.TD,2017/06/16 13:34:12.000,1296.688897
DrillBoreHole.TDREF,2017/06/16 13:34:12.000,-999.25
DepthMonitoring.RBD,2017/06/16 13:34:12.000,1296.688897
DepthMonitoring.ACTIVITY,2017/06/16 13:34:12.000,-999.25
HoistingSystem.HKH,2017/06/16 13:34:12.000,23.31110325
HoistingSystem.HKS,2017/06/16 13:34:12.000,0
HoistingSystem.WOH,2017/06/16 13:34:12.000,61199.2
TopDrive.TRQ,2017/06/16 13:34:12.000,0
TopDrive.RPM,2017/06/16 13:34:12.000,0
StandPipeSystem.PRS,2017/06/16 13:34:12.000,-999.25
Pump_1.SPM,2017/06/16 13:34:12.000,0
DrilBHReam.ROPINS,2017/06/16 13:34:12.000,4.52317E-15
FlowMonitoring.PUMPFLW,2017/06/16 13:34:12.000,0
DrilBHReam.WOBC,2017/06/16 13:34:12.000,-999.25
DrilBHReam.WOBDRILLER,2017/06/16 13:34:12.000,0
DepthMonitoring.TVD,2017/06/16 13:34:12.000,-999.25
TELEPACER.GR,2017/06/16 13:34:12.000,-999.25
TELEPACER.GRR,2017/06/16 13:34:12.000,-999.25
TELEPACER.INCL_CONT,2017/06/16 13:34:12.000,-999.25
TELEPACER.AZIM_CONT,2017/06/16 13:34:12.000,-999.25
TELEPACER.CRPM,2017/06/16 13:34:12.000,-999.25
TELEPACER.STICKRATIO,2017/06/16 13:34:12.000,-999.25
TELEPACER.TEMP_DNI,2017/06/16 13:34:12.000,-999.25
Surface.RPM,2017/06/16 13:34:12.000,0
Surface.TRQ,2017/06/16 13:34:12.000,0
DrilBHReam.ROPONDSTEP,2017/06/16 13:34:12.000,-999.25
DrillBoreHole.TD,2017/06/16 13:34:13.000,1296.688897
DrillBoreHole.TDREF,2017/06/16 13:34:13.000,-999.25
DepthMonitoring.RBD,2017/06/16 13:34:13.000,1296.688897
DepthMonitoring.ACTIVITY,2017/06/16 13:34:13.000,-999.25
HoistingSystem.HKH,2017/06/16 13:34:13.000,23.31110325
HoistingSystem.HKS,2017/06/16 13:34:13.000,0
HoistingSystem.WOH,2017/06/16 13:34:13.000,61199.2
TopDrive.TRQ,2017/06/16 13:34:13.000,0
TopDrive.RPM,2017/06/16 13:34:13.000,0
StandPipeSystem.PRS,2017/06/16 13:34:13.000,-999.25
Pump_1.SPM,2017/06/16 13:34:13.000,0
DrilBHReam.ROPINS,2017/06/16 13:34:13.000,4.52317E-15
FlowMonitoring.PUMPFLW,2017/06/16 13:34:13.000,0
DrilBHReam.WOBC,2017/06/16 13:34:13.000,-999.25
DrilBHReam.WOBDRILLER,2017/06/16 13:34:13.000,0
DepthMonitoring.TVD,2017/06/16 13:34:13.000,-999.25
TELEPACER.GR,2017/06/16 13:34:13.000,-999.25
TELEPACER.GRR,2017/06/16 13:34:13.000,-999.25
TELEPACER.INCL_CONT,2017/06/16 13:34:13.000,-999.25
TELEPACER.AZIM_CONT,2017/06/16 13:34:13.000,-999.25
TELEPACER.CRPM,2017/06/16 13:34:13.000,-999.25
TELEPACER.STICKRATIO,2017/06/16 13:34:13.000,-999.25
TELEPACER.TEMP_DNI,2017/06/16 13:34:13.000,-999.25
Surface.RPM,2017/06/16 13:34:13.000,0
Surface.TRQ,2017/06/16 13:34:13.000,0
DrilBHReam.ROPONDSTEP,2017/06/16 13:34:13.000,-999.25
DrillBoreHole.TD,2017/06/16 13:34:14.000,1296.688897
DrillBoreHole.TDREF,2017/06/16 13:34:14.000,-999.25
DepthMonitoring.RBD,2017/06/16 13:34:14.000,1296.688897
DepthMonitoring.ACTIVITY,2017/06/16 13:34:14.000,-999.25
HoistingSystem.HKH,2017/06/16 13:34:14.000,23.31110325
HoistingSystem.HKS,2017/06/16 13:34:14.000,0
HoistingSystem.WOH,2017/06/16 13:34:14.000,61199.2
TopDrive.TRQ,2017/06/16 13:34:14.000,0
TopDrive.RPM,2017/06/16 13:34:14.000,0
StandPipeSystem.PRS,2017/06/16 13:34:14.000,-999.25
Pump_1.SPM,2017/06/16 13:34:14.000,0
DrilBHReam.ROPINS,2017/06/16 13:34:14.000,0
FlowMonitoring.PUMPFLW,2017/06/16 13:34:14.000,0
DrilBHReam.WOBC,2017/06/16 13:34:14.000,-999.25
DrilBHReam.WOBDRILLER,2017/06/16 13:34:14.000,0
DepthMonitoring.TVD,2017/06/16 13:34:14.000,-999.25
TELEPACER.GR,2017/06/16 13:34:14.000,-999.25
TELEPACER.GRR,2017/06/16 13:34:14.000,-999.25
TELEPACER.INCL_CONT,2017/06/16 13:34:14.000,-999.25
TELEPACER.AZIM_CONT,2017/06/16 13:34:14.000,-999.25
TELEPACER.CRPM,2017/06/16 13:34:14.000,-999.25
TELEPACER.STICKRATIO,2017/06/16 13:34:14.000,-999.25
TELEPACER.TEMP_DNI,2017/06/16 13:34:14.000,-999.25
Surface.RPM,2017/06/16 13:34:14.000,0
Surface.TRQ,2017/06/16 13:34:14.000,0
DrilBHReam.ROPONDSTEP,2017/06/16 13:34:14.000,-999.25
DrillBoreHole.TD,2017/06/16 13:34:15.000,1296.688897
DrillBoreHole.TDREF,2017/06/16 13:34:15.000,-999.25
DepthMonitoring.RBD,2017/06/16 13:34:15.000,1296.688897
DepthMonitoring.ACTIVITY,2017/06/16 13:34:15.000,-999.25
HoistingSystem.HKH,2017/06/16 13:34:15.000,23.31110325
HoistingSystem.HKS,2017/06/16 13:34:15.000,0
HoistingSystem.WOH,2017/06/16 13:34:15.000,61199.2
TopDrive.TRQ,2017/06/16 13:34:15.000,0
TopDrive.RPM,2017/06/16 13:34:15.000,0
StandPipeSystem.PRS,2017/06/16 13:34:15.000,-999.25
Pump_1.SPM,2017/06/16 13:34:15.000,0
DrilBHReam.ROPINS,2017/06/16 13:34:15.000,0
FlowMonitoring.PUMPFLW,2017/06/16 13:34:15.000,0
DrilBHReam.WOBC,2017/06/16 13:34:15.000,-999.25
DrilBHReam.WOBDRILLER,2017/06/16 13:34:15.000,0
DepthMonitoring.TVD,2017/06/16 13:34:15.000,-999.25
TELEPACER.GR,2017/06/16 13:34:15.000,-999.25
TELEPACER.GRR,2017/06/16 13:34:15.000,-999.25
TELEPACER.INCL_CONT,2017/06/16 13:34:15.000,-999.25
TELEPACER.AZIM_CONT,2017/06/16 13:34:15.000,-999.25
TELEPACER.CRPM,2017/06/16 13:34:15.000,-999.25
TELEPACER.STICKRATIO,2017/06/16 13:34:15.000,-999.25
TELEPACER.TEMP_DNI,2017/06/16 13:34:15.000,-999.25
Surface.RPM,2017/06/16 13:34:15.000,0
Surface.TRQ,2017/06/16 13:34:15.000,0
DrilBHReam.ROPONDSTEP,2017/06/16 13:34:15.000,-999.25
DrillBoreHole.TD,2017/06/16 13:34:16.000,1296.688897
DrillBoreHole.TDREF,2017/06/16 13:34:16.000,-999.25
DepthMonitoring.RBD,2017/06/16 13:34:16.000,1296.688897
DepthMonitoring.ACTIVITY,2017/06/16 13:34:16.000,-999.25
HoistingSystem.HKH,2017/06/16 13:34:16.000,23.31110325
HoistingSystem.HKS,2017/06/16 13:34:16.000,0
HoistingSystem.WOH,2017/06/16 13:34:16.000,61199.2
TopDrive.TRQ,2017/06/16 13:34:16.000,0
TopDrive.RPM,2017/06/16 13:34:16.000,0
StandPipeSystem.PRS,2017/06/16 13:34:16.000,-999.25
Pump_1.SPM,2017/06/16 13:34:16.000,0
DrilBHReam.ROPINS,2017/06/16 13:34:16.000,0
FlowMonitoring.PUMPFLW,2017/06/16 13:34:16.000,0
DrilBHReam.WOBC,2017/06/16 13:34:16.000,-999.25
DrilBHReam.WOBDRILLER,2017/06/16 13:34:16.000,0
DepthMonitoring.TVD,2017/06/16 13:34:16.000,-999.25
TELEPACER.GR,2017/06/16 13:34:16.000,-999.25
TELEPACER.GRR,2017/06/16 13:34:16.000,-999.25
TELEPACER.INCL_CONT,2017/06/16 13:34:16.000,-999.25
TELEPACER.AZIM_CONT,2017/06/16 13:34:16.000,-999.25
TELEPACER.CRPM,2017/06/16 13:34:16.000,-999.25
TELEPACER.STICKRATIO,2017/06/16 13:34:16.000,-999.25
TELEPACER.TEMP_DNI,2017/06/16 13:34:16.000,-999.25
Surface.RPM,2017/06/16 13:34:16.000,0
Surface.TRQ,2017/06/16 13:34:16.000,0
DrilBHReam.ROPONDSTEP,2017/06/16 13:34:16.000,-999.25
DrillBoreHole.TD,2017/06/16 13:34:17.000,1296.688897
DrillBoreHole.TDREF,2017/06/16 13:34:17.000,-999.25
DepthMonitoring.RBD,2017/06/16 13:34:17.000,1296.688897
DepthMonitoring.ACTIVITY,2017/06/16 13:34:17.000,-999.25
HoistingSystem.HKH,2017/06/16 13:34:17.000,23.31110325
HoistingSystem.HKS,2017/06/16 13:34:17.000,0
HoistingSystem.WOH,2017/06/16 13:34:17.000,61199.2
TopDrive.TRQ,2017/06/16 13:34:17.000,0
TopDrive.RPM,2017/06/16 13:34:17.000,0
StandPipeSystem.PRS,2017/06/16 13:34:17.000,-999.25
Pump_1.SPM,2017/06/16 13:34:17.000,0
DrilBHReam.ROPINS,2017/06/16 13:34:17.000,0
FlowMonitoring.PUMPFLW,2017/06/16 13:34:17.000,0
DrilBHReam.WOBC,2017/06/16 13:34:17.000,-999.25
DrilBHReam.WOBDRILLER,2017/06/16 13:34:17.000,0
DepthMonitoring.TVD,2017/06/16 13:34:17.000,-999.25
TELEPACER.GR,2017/06/16 13:34:17.000,-999.25
TELEPACER.GRR,2017/06/16 13:34:17.000,-999.25
TELEPACER.INCL_CONT,2017/06/16 13:34:17.000,-999.25
TELEPACER.AZIM_CONT,2017/06/16 13:34:17.000,-999.25
TELEPACER.CRPM,2017/06/16 13:34:17.000,-999.25
TELEPACER.STICKRATIO,2017/06/16 13:34:17.000,-999.25
TELEPACER.TEMP_DNI,2017/06/16 13:34:17.000,-999.25
Surface.RPM,2017/06/16 13:34:17.000,0
Surface.TRQ,2017/06/16 13:34:17.000,0
DrilBHReam.ROPONDSTEP,2017/06/16 13:34:17.000,-999.25
DrillBoreHole.TD,2017/06/16 13:34:18.000,1296.688897
DrillBoreHole.TDREF,2017/06/16 13:34:18.000,-999.25
DepthMonitoring.RBD,2017/06/16 13:34:18.000,1296.688897
DepthMonitoring.ACTIVITY,2017/06/16 13:34:18.000,-999.25
HoistingSystem.HKH,2017/06/16 13:34:18.000,23.31110325
HoistingSystem.HKS,2017/06/16 13:34:18.000,0
HoistingSystem.WOH,2017/06/16 13:34:18.000,61199.2
TopDrive.TRQ,2017/06/16 13:34:18.000,0
TopDrive.RPM,2017/06/16 13:34:18.000,0
StandPipeSystem.PRS,2017/06/16 13:34:18.000,-999.25
Pump_1.SPM,2017/06/16 13:34:18.000,0
DrilBHReam.ROPINS,2017/06/16 13:34:18.000,0
FlowMonitoring.PUMPFLW,2017/06/16 13:34:18.000,0
DrilBHReam.WOBC,2017/06/16 13:34:18.000,-999.25
DrilBHReam.WOBDRILLER,2017/06/16 13:34:18.000,0
DepthMonitoring.TVD,2017/06/16 13:34:18.000,-999.25
TELEPACER.GR,2017/06/16 13:34:18.000,-999.25
TELEPACER.GRR,2017/06/16 13:34:18.000,-999.25
TELEPACER.INCL_CONT,2017/06/16 13:34:18.000,-999.25
TELEPACER.AZIM_CONT,2017/06/16 13:34:18.000,-999.25
TELEPACER.CRPM,2017/06/16 13:34:18.000,-999.25
TELEPACER.STICKRATIO,2017/06/16 13:34:18.000,-999.25
TELEPACER.TEMP_DNI,2017/06/16 13:34:18.000,-999.25
Surface.RPM,2017/06/16 13:34:18.000,0
Surface.TRQ,2017/06/16 13:34:18.000,0
DrilBHReam.ROPONDSTEP,2017/06/16 13:34:18.000,-999.25
DrillBoreHole.TD,2017/06/16 13:34:19.000,1296.688897
DrillBoreHole.TDREF,2017/06/16 13:34:19.000,-999.25
DepthMonitoring.RBD,2017/06/16 13:34:19.000,1296.688897
DepthMonitoring.ACTIVITY,2017/06/16 13:34:19.000,-999.25
HoistingSystem.HKH,2017/06/16 13:34:19.000,23.31110325
HoistingSystem.HKS,2017/06/16 13:34:19.000,0
HoistingSystem.WOH,2017/06/16 13:34:19.000,61199.2
TopDrive.TRQ,2017/06/16 13:34:19.000,0
TopDrive.RPM,2017/06/16 13:34:19.000,0
StandPipeSystem.PRS,2017/06/16 13:34:19.000,-999.25
Pump_1.SPM,2017/06/16 13:34:19.000,0
DrilBHReam.ROPINS,2017/06/16 13:34:19.000,0
FlowMonitoring.PUMPFLW,2017/06/16 13:34:19.000,0
DrilBHReam.WOBC,2017/06/16 13:34:19.000,-999.25
DrilBHReam.WOBDRILLER,2017/06/16 13:34:19.000,0
DepthMonitoring.TVD,2017/06/16 13:34:19.000,-999.25
TELEPACER.GR,2017/06/16 13:34:19.000,-999.25
TELEPACER.GRR,2017/06/16 13:34:19.000,-999.25
TELEPACER.INCL_CONT,2017/06/16 13:34:19.000,-999.25
TELEPACER.AZIM_CONT,2017/06/16 13:34:19.000,-999.25
TELEPACER.CRPM,2017/06/16 13:34:19.000,-999.25
TELEPACER.STICKRATIO,2017/06/16 13:34:19.000,-999.25
TELEPACER.TEMP_DNI,2017/06/16 13:34:19.000,-999.25
Surface.RPM,2017/06/16 13:34:19.000,0
Surface.TRQ,2017/06/16 13:34:19.000,0
DrilBHReam.ROPONDSTEP,2017/06/16 13:34:19.000,-999.25
DrillBoreHole.TD,2017/06/16 13:34:20.000,1296.688897
DrillBoreHole.TDREF,2017/06/16 13:34:20.000,-999.25
DepthMonitoring.RBD,2017/06/16 13:34:20.000,1296.688897
DepthMonitoring.ACTIVITY,2017/06/16 13:34:20.000,-999.25
HoistingSystem.HKH,2017/06/16 13:34:20.000,23.31110325
HoistingSystem.HKS,2017/06/16 13:34:20.000,0
HoistingSystem.WOH,2017/06/16 13:34:20.000,61199.2
TopDrive.TRQ,2017/06/16 13:34:20.000,0
TopDrive.RPM,2017/06/16 13:34:20.000,0
StandPipeSystem.PRS,2017/06/16 13:34:20.000,-999.25
Pump_1.SPM,2017/06/16 13:34:20.000,0
DrilBHReam.ROPINS,2017/06/16 13:34:20.000,0
FlowMonitoring.PUMPFLW,2017/06/16 13:34:20.000,0
DrilBHReam.WOBC,2017/06/16 13:34:20.000,-999.25
DrilBHReam.WOBDRILLER,2017/06/16 13:34:20.000,0
DepthMonitoring.TVD,2017/06/16 13:34:20.000,-999.25
TELEPACER.GR,2017/06/16 13:34:20.000,-999.25
TELEPACER.GRR,2017/06/16 13:34:20.000,-999.25
TELEPACER.INCL_CONT,2017/06/16 13:34:20.000,-999.25
TELEPACER.AZIM_CONT,2017/06/16 13:34:20.000,-999.25
TELEPACER.CRPM,2017/06/16 13:34:20.000,-999.25
TELEPACER.STICKRATIO,2017/06/16 13:34:20.000,-999.25
TELEPACER.TEMP_DNI,2017/06/16 13:34:20.000,-999.25
Surface.RPM,2017/06/16 13:34:20.000,0
Surface.TRQ,2017/06/16 13:34:20.000,0
DrilBHReam.ROPONDSTEP,2017/06/16 13:34:20.000,-999.25
DrillBoreHole.TD,2017/06/16 13:34:21.000,1296.688897
DrillBoreHole.TDREF,2017/06/16 13:34:21.000,-999.25
DepthMonitoring.RBD,2017/06/16 13:34:21.000,1296.688897
DepthMonitoring.ACTIVITY,2017/06/16 13:34:21.000,-999.25
HoistingSystem.HKH,2017/06/16 13:34:21.000,23.31110325
HoistingSystem.HKS,2017/06/16 13:34:21.000,0
HoistingSystem.WOH,2017/06/16 13:34:21.000,61199.2
TopDrive.TRQ,2017/06/16 13:34:21.000,0
TopDrive.RPM,2017/06/16 13:34:21.000,0
StandPipeSystem.PRS,2017/06/16 13:34:21.000,-999.25
Pump_1.SPM,2017/06/16 13:34:21.000,0
DrilBHReam.ROPINS,2017/06/16 13:34:21.000,0
FlowMonitoring.PUMPFLW,2017/06/16 13:34:21.000,0
DrilBHReam.WOBC,2017/06/16 13:34:21.000,-999.25
DrilBHReam.WOBDRILLER,2017/06/16 13:34:21.000,0
DepthMonitoring.TVD,2017/06/16 13:34:21.000,-999.25
TELEPACER.GR,2017/06/16 13:34:21.000,-999.25
TELEPACER.GRR,2017/06/16 13:34:21.000,-999.25
TELEPACER.INCL_CONT,2017/06/16 13:34:21.000,-999.25
TELEPACER.AZIM_CONT,2017/06/16 13:34:21.000,-999.25
TELEPACER.CRPM,2017/06/16 13:34:21.000,-999.25
TELEPACER.STICKRATIO,2017/06/16 13:34:21.000,-999.25
TELEPACER.TEMP_DNI,2017/06/16 13:34:21.000,-999.25
Surface.RPM,2017/06/16 13:34:21.000,0
Surface.TRQ,2017/06/16 13:34:21.000,0
DrilBHReam.ROPONDSTEP,2017/06/16 13:34:21.000,-999.25
DrillBoreHole.TD,2017/06/16 13:34:22.000,1296.688897
DrillBoreHole.TDREF,2017/06/16 13:34:22.000,-999.25
DepthMonitoring.RBD,2017/06/16 13:34:22.000,1296.688897
DepthMonitoring.ACTIVITY,2017/06/16 13:34:22.000,-999.25
HoistingSystem.HKH,2017/06/16 13:34:22.000,23.31110325
HoistingSystem.HKS,2017/06/16 13:34:22.000,0
HoistingSystem.WOH,2017/06/16 13:34:22.000,61199.2
TopDrive.TRQ,2017/06/16 13:34:22.000,0
TopDrive.RPM,2017/06/16 13:34:22.000,0
StandPipeSystem.PRS,2017/06/16 13:34:22.000,-999.25
Pump_1.SPM,2017/06/16 13:34:22.000,0
DrilBHReam.ROPINS,2017/06/16 13:34:22.000,4.78611E-17
FlowMonitoring.PUMPFLW,2017/06/16 13:34:22.000,0
DrilBHReam.WOBC,2017/06/16 13:34:22.000,-999.25
DrilBHReam.WOBDRILLER,2017/06/16 13:34:22.000,0
DepthMonitoring.TVD,2017/06/16 13:34:22.000,-999.25
TELEPACER.GR,2017/06/16 13:34:22.000,-999.25
TELEPACER.GRR,2017/06/16 13:34:22.000,-999.25
TELEPACER.INCL_CONT,2017/06/16 13:34:22.000,-999.25
TELEPACER.AZIM_CONT,2017/06/16 13:34:22.000,-999.25
TELEPACER.CRPM,2017/06/16 13:34:22.000,-999.25
TELEPACER.STICKRATIO,2017/06/16 13:34:22.000,-999.25
TELEPACER.TEMP_DNI,2017/06/16 13:34:22.000,-999.25
Surface.RPM,2017/06/16 13:34:22.000,0
Surface.TRQ,2017/06/16 13:34:22.000,0
DrilBHReam.ROPONDSTEP,2017/06/16 13:34:22.000,-999.25
DrillBoreHole.TD,2017/06/16 13:34:23.000,1296.688897
DrillBoreHole.TDREF,2017/06/16 13:34:23.000,-999.25
DepthMonitoring.RBD,2017/06/16 13:34:23.000,1296.688897
DepthMonitoring.ACTIVITY,2017/06/16 13:34:23.000,-999.25
HoistingSystem.HKH,2017/06/16 13:34:23.000,23.31110325
HoistingSystem.HKS,2017/06/16 13:34:23.000,0
HoistingSystem.WOH,2017/06/16 13:34:23.000,61199.2
TopDrive.TRQ,2017/06/16 13:34:23.000,0
TopDrive.RPM,2017/06/16 13:34:23.000,0
